Feature_ID	Taxon	Consensus
023bde70034a4a6a014146676afa5628	Unassigned	1.0
023bf020f13610926296aec402a812d9	Unassigned	1.0
0253a88fab97c438abf8c906148d1e41	Unassigned	1.0
0257905d0acb1b2574d67c136d03bf28	Unassigned	1.0
0259526b8dbd53b891a68b58c45af4e0	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__unidentified	1.0
025d822b5d68ae5293d21fbf6134c27c	Unassigned	1.0
0263e059be83bcc4c47ed3c5f67ffb7c	Unassigned	1.0
026433f1a9bb9516baa554a8b8119f10	Unassigned	1.0
0269ed09fdf4f6b853c21eb247f33f9c	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.6
02742deb16e03c002160a6ac5a92209f	k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes;o__Rhizophlyctidales;f__Rhizophlyctidaceae;g__Rhizophlyctis;s__Rhizophlyctis_rosea	1.0
02760eb61f1f7cd842483b688cba7a1e	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.9
0279551b1cb23e8fced62f1b61785ba5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae	0.7
027bfd7d8685b36f952f9943c65195c6	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae	0.8
028ab81dd04822eededcd1ac42234651	Unassigned	1.0
029262c490ea4be283f3f18738e1bc5d	Unassigned	1.0
029729d52523af7a402ed25b1c5cd75a	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Holtermanniales;f__Holtermanniales_fam_Incertae_sedis;g__Holtermanniella;s__Holtermanniella_takashimae	0.667
029cb7f294c22ff69e461900db2c9ed7	Unassigned	1.0
02a245b2486a8b433093324ea7e0faf1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.9
02b2b8ec0c92e36536b8d3c3ed22b81e	Unassigned	1.0
02b6b73725ba8d112ccf65ebeeedbb57	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis	0.8
02bf91ccdd7ed4161be31a8c285b19f7	Unassigned	1.0
02bf9418134dc636906cc8bb9043c0e0	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	1.0
