SampleID	SampleIDBac	Sample_IDa	Treatment_Descrip	Replication	Sampling_Location	Sampling_Time	Sampling_Year	Date	Season	Lab	NucliecAcid	TreatmentCode	Replication_Code	FertMan	NI	NIT	NI_app	NI_ Cons.	Tillage	Year_Time	Crop
KL22Fun-39	KL22Bac-39	22LH9	pig slurry with Vizura	3	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PV1	c	PS	Vizura	DMPP	Yes	1	PL	2022_Late	SpringBarley
KL22Fun-40	KL22Bac-40	22LH10	pig slurry with Vizura	1	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PV3	a	PS	Vizura	DMPP	Yes	3	PL	2022_Late	SpringBarley
KL22Fun-41	KL22Bac-41	22LH11	pig slurry with Vizura	2	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PV3	b	PS	Vizura	DMPP	Yes	3	PL	2022_Late	SpringBarley
KL22Fun-42	KL22Bac-42	22LH12	pig slurry with Vizura	3	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PV3	c	PS	Vizura	DMPP	Yes	3	PL	2022_Late	SpringBarley
KL22Fun-43	KL22Bac-43	22LH13	pig slurry with Vizura	1	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PV10	a	PS	Vizura	DMPP	Yes	10	PL	2022_Late	SpringBarley
KL22Fun-44	KL22Bac-44	22LH14	pig slurry with Vizura	2	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PV10	b	PS	Vizura	DMPP	Yes	10	PL	2022_Late	SpringBarley
KL22Fun-45	KL22Bac-45	22LH15	pig slurry with Vizura	3	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PV10	c	PS	Vizura	DMPP	Yes	10	PL	2022_Late	SpringBarley
KL22Fun-46	KL22Bac-46	22LH16	pig slurry with Instinct	1	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PI1	a	PS	Instinct	Nitrapyrin	Yes	1	PL	2022_Late	SpringBarley
KL22Fun-47	KL22Bac-47	22LH17	pig slurry with Instinct	2	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PI1	b	PS	Instinct	Nitrapyrin	Yes	1	PL	2022_Late	SpringBarley
KL22Fun-48	KL22Bac-48	22LH18	pig slurry with Instinct	3	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PI1	c	PS	Instinct	Nitrapyrin	Yes	1	PL	2022_Late	SpringBarley
KL22Fun-49	KL22Bac-49	22LH19	pig slurry with Instinct	1	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PI3	a	PS	Instinct	Nitrapyrin	Yes	3	PL	2022_Late	SpringBarley
KL22Fun-50	KL22Bac-50	22LH20	pig slurry with Instinct	2	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PI3	b	PS	Instinct	Nitrapyrin	Yes	3	PL	2022_Late	SpringBarley
KL22Fun-51	KL22Bac-51	22LH21	pig slurry with Instinct	3	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PI3	c	PS	Instinct	Nitrapyrin	Yes	3	PL	2022_Late	SpringBarley
KL22Fun-52	KL22Bac-52	22LH22	pig slurry with Instinct	1	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PI10	a	PS	Instinct	Nitrapyrin	Yes	10	PL	2022_Late	SpringBarley
KL22Fun-53	KL22Bac-53	22LH23	pig slurry with Instinct	2	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PI10	b	PS	Instinct	Nitrapyrin	Yes	10	PL	2022_Late	SpringBarley
KL22Fun-54	KL22Bac-54	22LH24	pig slurry with Instinct	3	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	PI10	c	PS	Instinct	Nitrapyrin	Yes	10	PL	2022_Late	SpringBarley
KL22Fun-55	KL22Bac-55	22LH25	Chemical fertilizer NS	1	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	NS	a	NS	No	No	No	0	PL	2022_Late	SpringBarley
KL22Fun-56	KL22Bac-56	22LH26	Chemical fertilizer NS	2	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	NS	b	NS	No	No	No	0	PL	2022_Late	SpringBarley
KL22Fun-57	KL22Bac-57	22LH27	Chemical fertilizer NS	3	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	NS	c	NS	No	No	No	0	PL	2022_Late	SpringBarley
KL22Fun-58	KL22Bac-58	22LH28	Chemical fertilizer NS + DMPP	1	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	NS_DMPP	a	NS	DMPP	DMPP	Yes	1	PL	2022_Late	SpringBarley
KL22Fun-59	KL22Bac-59	22LH29	Chemical fertilizer NS + DMPP	2	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	NS_DMPP	b	NS	DMPP	DMPP	Yes	1	PL	2022_Late	SpringBarley
KL22Fun-60	KL22Bac-60	22LH30	Chemical fertilizer NS + DMPP	3	Højbakkegaard	Late_50d	2022		Fall	Tanja	DNA	NS_DMPP	c	NS	DMPP	DMPP	Yes	1	PL	2022_Late	SpringBarley
