OTU_ID	C1	C3	PS1	PS2	PS3	PV1	PV2	PV3	PV4	PV5	PV6	PV7	PV8	PV9	PI1	PI2	PI3	PI4	PI5	PI6	PI7	PI8	PI9	NS1	NS2	NS3	NE1	NE2	NE3
3f0dea05c6450f0e2112202b491a360c	146	96	148	487	471	194	202	285	334	149	120	222	117	0	160	126	148	127	157	118	136	168	191	35	91	91	140	143	90
07ae7528cac10dec0e3468983c957002	222	94	177	257	342	101	206	354	224	301	119	183	123	96	162	325	331	255	257	248	193	769	391	0	124	179	63	213	259
9ef86a16d2f9d49ec021eed68b943218	340	143	49	174	160	120	48	57	50	180	53	117	243	54	163	397	353	194	288	65	278	155	269	62	523	231	290	504	365
4b07f49a1e1c13c009b89230f94562b3	136	65	318	92	279	36	63	109	101	67	156	109	92	47	128	59	122	109	103	67	313	279	103	5	652	189	81	40	51
1d6557842d990fd69612eb8a60b0137a	31	146	115	0	61	172	164	233	81	106	0	198	0	56	0	59	201	132	135	82	126	521	183	0	47	0	0	40	31
a96eead6f29e83d32a74f876379ab0de	0	0	141	297	159	90	74	233	0	45	439	52	80	14	35	59	551	0	24	191	11	92	289	0	0	27	0	0	0
be935b5cb20dac1a7416f3a9520232d9	0	0	0	0	0	8	0	6	0	0	0	0	8	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
150f0d56fc17ccb6f24e5a31544188c1	128	29	88	101	83	30	202	160	174	36	176	164	57	47	112	113	67	131	240	87	132	185	100	0	59	15	0	67	137
92bee3c2ca338770e3595251fa40e5d9	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6719d9950b1bc68f97178a1e13ef0c61	98	95	81	312	230	108	71	180	144	67	39	182	37	0	100	50	82	77	59	82	116	77	130	0	42	45	0	69	79
b4c07a421144788ae16d90c673b31f84	0	0	0	0	3	0	18	0	0	6	0	9	0	7	0	7	25	9	5	7	6	6	28	0	7	0	0	0	2
824b38b4d45fd0551bf61eaca9981369	361	1796	29	505	656	414	67	101	97	334	171	107	0	4	68	514	172	314	51	296	91	38	344	20	98	161	0	154	66
8bd640f90d1176bdd8cf0f883c6fbca9	14	5	24	17	52	0	35	6	0	10	5	14	10	0	11	10	7	9	13	6	13	25	12	0	22	20	0	24	32
24a2cbb41c29332420354b50023387f6	426	258	143	266	126	162	297	159	446	267	56	130	96	39	113	81	116	129	94	83	134	97	93	13	159	166	185	262	95
2f5c1fd1b72234de47768e8a20e6e041	21	0	6	0	92	5	13	52	7	24	25	16	22	17	19	20	24	65	53	9	19	302	11	0	47	0	0	0	12
c30334163d458634de20a9bcc4c932a0	76	126	102	2296	135	248	168	283	334	612	138	267	134	56	141	141	362	189	151	176	170	244	118	31	103	73	84	154	149
db1e5e5a12041213e6d440263199bc43	19	0	0	19	32	0	9	39	18	0	9	25	15	0	17	0	45	0	0	0	21	75	37	0	12	30	0	36	19
d281992b8c73911eaa267362d25aca35	96	108	60	131	143	89	144	219	141	68	91	184	85	30	97	92	73	91	62	105	122	94	82	0	69	110	26	46	76
6d10468875158135529ccafc4400767c	40	109	0	122	147	83	46	166	161	75	61	119	59	0	82	61	133	112	94	70	70	74	150	0	159	56	105	132	73
efc112e537b974f8d6c53dd335ee42c2	0	28	0	9	0	2	5	0	24	6	0	0	2	0	9	5	0	0	0	11	3	4	0	0	0	3	0	2	0
750f5f5d824d4d4e96d39b6f0588d70a	14	20	52	11	60	26	7	43	23	52	39	58	16	13	38	61	65	39	45	36	27	79	85	10	169	85	4	36	22
