OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
3a6dfb4c13a02c37b3328b67e6c05151	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
3a73469284bd6dee3f16f1c27a847a69	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	
3a75e7d037231098b475e9590eb67931	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	uncultured bacterium
3a7abc9650fb23b5b9e4e2da6e05b564	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	uncultured bacterium	uncultured bacterium
3a7f4c0fac8c540a93c2a37567615a94	Bacteria	Acidobacteria	Subgroup 15	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
3a8514b5797809658436ecd07ff659af	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	uncultured archaeon	uncultured archaeon
3a9c6d30a9e7f18508688ff920a4f150	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
3aa8614aae752d4bb7020f52d43bbaa9	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	uncultured bacterium
3aa96e11917a9bfbf650fbe219210bb3	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured		
3aae0bd41d6975bfe947d7b73b0b4d0b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	uncultured	
3ac909299e5c96e11be929ff7d624fc0	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
3acdff3617b176faf9bb2c821f85c9d8	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured bacterium
3ad3df8923d41856ca5302f2de29e54a	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
3ae44ec5be12ee8aef54f684f2dad40f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Bauldia	uncultured bacterium
3ae9fdfa485cf9bdaea96a42f5074bfb	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
3aecba07c196732109f855beefeaec12	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
3af0d1674a6a9f3023463f622c1097a3	Bacteria	Chloroflexi	KD4-96	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
